isbn,title,authors,publication_year,average_rating,ratings_count
439023483,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,4.34,4780653
439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,4.44,4602479
316015849,"Twilight (Twilight, #1)",Stephenie Meyer,2005,3.57,3866839
61120081,To Kill a Mockingbird,Harper Lee,1960,4.25,3198671
743273567,The Great Gatsby,F. Scott Fitzgerald,1925,3.89,2683664
525478817,The Fault in Our Stars,John Green,2012,4.26,2346404
618260307,The Hobbit,J.R.R. Tolkien,1937,4.25,2071616
316769177,The Catcher in the Rye,J.D. Salinger,1951,3.79,2044241
1416524797,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,3.85,2001311
679783261,Pride and Prejudice,Jane Austen,1813,4.24,2035490
1594480001,The Kite Runner,Khaled Hosseini,2003,4.26,1813044
62024035,"Divergent (Divergent, #1)",Veronica Roth,2011,4.24,1903563
451524934,1984,"George Orwell, Erich Fromm, Celâl Üster",1949,4.14,1956832
452284244,Animal Farm,George Orwell,1945,3.87,1881700
553296981,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,4.1,1972666
307269752,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005,4.11,1808403
439023491,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,4.3,1831039
043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,4.53,1832823
618346252,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,4.34,1766803
439023513,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,4.03,1719760
439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003,4.46,1735368
316166685,The Lovely Bones,Alice Sebold,2002,3.77,1605173
439064864,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998,4.37,1779331
439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,4.53,1753043
545010225,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007,4.61,1746574
307277674,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003,3.79,1447148
439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005,4.54,1678823
140283331,Lord of the Flies,William Golding,1954,3.64,1605019
743477111,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595,3.73,1628519
297859382,Gone Girl,Gillian Flynn,2012,4.03,512475
399155341,The Help,Kathryn Stockett,2009,4.45,1531753
142000671,Of Mice and Men,John Steinbeck,1937,3.84,1467496
739326228,Memoirs of a Geisha,Arthur Golden,1997,4.08,1300209
1612130291,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,3.67,1338493
61122416,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988,3.82,1299566
385732554,"The Giver (The Giver, #1)",Lois Lowry,1993,4.12,1296825
60764899,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,4.19,1531800
965818675,The Time Traveler's Wife,Audrey Niffenegger,2003,3.95,746287
553588486,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,4.45,1319204
143038419,"Eat, Pray, Love",Elizabeth Gilbert,2006,3.51,1181647
786838655,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,4.23,1366265
451529308,"Little Women (Little Women, #1)",Louisa May Alcott,1868,4.04,1257121
142437204,Jane Eyre,"Charlotte Brontë, Michael Mason",1847,4.1,1198557
553816713,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,4.06,1053403
770430074,Life of Pi,Yann Martel,2001,3.88,1003228
1565125606,Water for Elephants,Sara Gruen,2006,4.07,1068146
375831002,The Book Thief,Markus Zusak,2005,4.36,1159741
307347974,Fahrenheit 451,Ray Bradbury,1953,3.97,570498
