ISBN,Title,Author,Year-Of-Publication,Publisher
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
0440234743,The Testament,John Grisham,1999,Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd
0971880107,Wild Animus,Rich Shapero,2004,Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press
0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek
0446608653,The Alibi,Sandra Brown,2000,Warner Books
0446612545,The Beach House,James Patterson,2003,Warner Books
0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books
0451208080,The Short Forever,Stuart Woods,2003,Signet Book
0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
0451410319,Hush,Anne Frasier,2002,Onyx Books
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
0380778556,Rebecca,Daphne Du Maurier,1994,Avon
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher
0446527165,Wish You Well,David Baldacci,2000,Warner Books
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
039575514X,My Antonia,Willa Cather,1995,Mariner Books
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
0345378490,Congo,Michael Crichton,1995,Ballantine Books
0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books
0345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade
0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
0385508042,The King of Torts,John Grisham,2003,Doubleday Books
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday
0385511612,Bleachers,John Grisham,2003,Doubleday
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
0425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
0451162072,Pet Sematary,Stephen King,1994,Signet Book
0451186648,Silent Snow,Steve Thayer,2000,Signet Book
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books
