User-ID,Location,Age
254,"minneapolis, minnesota, usa",24.0
507,"dumas, arkansas, usa",
2276,"niskayuna, new york, usa",46.0
2766,"frisco, texas, usa",42.0
2891,"beaverton, oregon, usa",
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
4017,"new orleans, louisiana, usa",48.0
5903,"vienna, vienna, austria",25.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6323,"wilmington, north carolina, usa",35.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6575,"seattle, washington, usa",
7125,"apo, ae, usa",28.0
7158,"omaha, nebraska, usa",30.0
7346,"sunnyvale, california, usa",49.0
7915,"st. paul, minnesota, usa",
8067,"owings mills, maryland, usa",26.0
8245,"torrance, california, usa",31.0
8253,"tulsa, oklahoma, usa",26.0
8284,"manchester, kentucky, usa",28.0
8362,"los angeles, california, usa",28.0
8454,"auburndale, massachusetts, usa",
8487,"carrollton, texas, usa",30.0
8681,"orlando, florida, usa",34.0
8936,"elizabeth city, north carolina, usa",18.0
9417,"whitby, ontario, canada",26.0
9747,"o`fallon, missouri, usa",
9856,"glendale, colorado, usa",22.0
9908,"woodstock, georgia, usa",36.0
10314,"beaverton, oregon, usa",
10447,"chicago, illinois, usa",
10819,"richmond, kentucky, usa",27.0
11601,"brooklyn, new york, usa",
11676,"n/a, n/a, n/a",
11993,"lakewood, colorado, usa",37.0
12538,"byron, minnesota, usa",18.0
12982,"getxo, vizcaya, spain",41.0
13273,"harrisburg, pennsylvania, usa",201.0
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
14422,"apple valley, minnesota, usa",
14521,"providence, rhode island, usa",
15408,"cary, north carolina, usa",34.0
15418,"vitoria, �lava, spain",23.0
16106,"albany, california, usa",44.0
16155,"kuala lumpur, , malaysia",47.0
16634,"little rock, arkansas, usa",42.0
16795,"mechanicsville, maryland, usa",47.0
16916,"hackettstown, new jersey, usa",53.0
16966,"waterloo, ontario, canada",41.0
17950,"puchong, selangor, malaysia",32.0
18067,"kajang, selangor, malaysia",33.0
19085,"menomonie, wisconsin, usa",60.0
19664,"katonah, new york, usa",19.0
20060,"baltimore, maryland, usa",48.0
20115,"lansdale, pennsylvania, usa",32.0
20201,"grove city, ohio, usa",31.0
21014,"fresno, california, usa",
21031,"alexandria, virginia, usa",36.0
